name;area_name;url;salary_from;salary_to;salary_cur;requirement;responsibility;employer;api
Тестировщик;Москва;https://hh.ru/vacancy/86598503;120000;170000;RUR;Общий опыт работы на позиции тестировщика от 2-х лет. Опыт тестирования интеграционных взаимодействий крупного бизнеса. Разбор логов, локализация ошибок...;Проведение системного, интеграционно-функционального, регрессионного тестирования в рамках регулярных интеграционных релизов. Разработка тест-кейсов. Активное взаимодействие с участниками команд (аналитиками...;Datanomica;HH
Java-программист (виртуализация);Москва;https://hh.ru/vacancy/86528565;0;0;RUR;Опыт и знание принципов работы систем виртуализации. Знание <highlighttext>Java</highlighttext>, GWT, Spring, EJB, SQL. Критично наличие коммерческого опыта и готовность работы...;Доработка менеджера виртуализации. Исправление ошибок.;Ред Софт;HH
Стажер-разработчик программного обеспечения;Красноярск;https://hh.ru/vacancy/85699126;41000;;RUR;Практические навыки написания SQL запросов. Знание следующих языков программирования: <highlighttext>Java</highlighttext>, TypeScript. Знание следующих фреймворков: Angular, Spring Boot. Опыт работы с...;Изучение технологии и инструментов разработки программного обеспечения. Разработка нового и доработка существующего функционала программного обеспечения. Локализация и исправление ошибок в...;Сибирские интеграционные системы;HH
HTML-верстальщик;Казань;https://hh.ru/vacancy/86343498;40000;60000;RUR;Владение HTML, CSS3, Javascript, jQuery,Vue.js,Ajax,Bootstrap. Знание особенностей кроссбраузерной верстки. Писать читабельный и хорошо задокументированный код. ;Верстка адаптивных сайтов под различные устройства. Поддержка и внесение изменений в действующие сайты.;Директ;HH
Инженер-стажер (Java);Санкт-Петербург;https://hh.ru/vacancy/85995646;0;0;RUR;Знаешь ООП, классические алгоритмы и структуры данных. Знаешь <highlighttext>Java</highlighttext> SE 8 и выше (Core/ IO/ Collections/ Exception handling/ Concurrency/ GC...;Участвовать в разработке нового продукта в области MDM в составе команды разработчиков на стеке <highlighttext>Java</highlighttext>. Писать техническую (не пользовательскую) документацию. ;Юниверс Дата;HH
Стажер-разработчик / web-программист;Пятигорск;https://hh.ru/vacancy/85965657;30000;;RUR;Базовые знания Javascript, HTML, CSS. Знание английского языка будет плюсом, но не является обязательным требованием. Приветствуется знание одного из фреймворков...;;Fortech;HH
Java-разработчик;Алматы;https://hh.ru/vacancy/86506289;0;0;RUR;...<highlighttext>Java</highlighttext>. Опыт разработки клиент-серверных приложений. Понимание ООП, паттернов проектирования, понимание принципов SOLID. Умение писать поддерживаемый код. Уверенное знание <highlighttext>Java</highlighttext>...;Разрабатывать новые и улучшать существующие сервисы. Активно участвовать в процессе разработки, от проектирования архитектуры до релиза. Написание высоконагруженных web приложений. ;ДОЧЕРНЯЯ ОРГАНИЗАЦИЯ НАРОДНОГО БАНКА КАЗАХСТАНА HALYK FINSERVICE;HH
QA Automation Engineer Java;Москва;https://hh.ru/vacancy/85443501;0;0;RUR;Обязателен коммерческий опыт работы тестировщиком от 6 месяцев на языке <highlighttext>Java</highlighttext>. Опыт работы с одним из фреймворков тестирования на <highlighttext>Java</highlighttext>...;Разработка автотестов. Локализация проблем и их документирование. Разработка инфраструктуры автотестирования. Интеграция тестовой инфраструктуры. Модификация процесса тестирования под нужны проекта. ;Performance Lab (Перфоманс Лаб);HH
Java Software Engineer;Минск;https://hh.ru/vacancy/86531431;0;0;RUR;Знание и понимание принципов ООП, SOLID, основных паттернов проектирования. Уверенные знания <highlighttext>Java</highlighttext> SE (8/11). Понимание архитектуры Spring Framework. ;Программирование, участие в разработке IT-проектов. Поддержка и обслуживание проектов. Разработка приложений. Взаимодействие с другими разработчиками.;СЕНЛА;HH
Junior React разработчик;Новочеркасск;https://hh.ru/vacancy/86286426;50000;;RUR;Опыт от 1 года коммерческой разработки. Знание языков программирования JavaScript и TypeScript. Знание библиотеки React. Знание одного из стейт менеджеров...;Antd / material ui. Moment / date fns / day.js. Chart.js.;Fortech;HH
Стажер Back-end разработчика: php, java, python, c#;Санкт-Петербург;https://hh.ru/vacancy/86499209;15000;30000;RUR;Знание одного из языков: php, python, <highlighttext>java</highlighttext>, c#. Наличие учебного опыта серверной разработки. Желательно профильное высшее образование по разработке (если...;Разработка на bitrix framework. Разработка API для мобильных приложений и веб-интерфейсов. Интеграция по API с внешними сервисами (банки, доставщики...;Nti.team;HH
Разработчик автотестов / QA Engineer (Automation);Москва;https://hh.ru/vacancy/85771163;0;0;RUR;Базовые знания стека протоколов TCP/IP, REST/SOAP API. Уверенные знания <highlighttext>Java</highlighttext>, Spring (Spring Boot, Spring JPA, Spring Cloud). ;Участие в автоматизации процесса тестирования: Разработка и сопровождение автоматизированных тестов на <highlighttext>Java</highlighttext>. Разработка тестовой модели автоматизированных тест-кейсов. ;АЙКОНТЕХ;HH
Младший Java разработчик;Москва;https://hh.ru/vacancy/86022199;60000;110000;RUR;Уверенное знание принципов объектно-ориентированного программирования, <highlighttext>Java</highlighttext>-core, SQL, теории СУБД. Опыт работы с одной из реляционных БД (DB2...;Разработка клиент-серверных приложений на платформе <highlighttext>Java</highlighttext> с WEB интерфейсом.;ИВИС, OOO;HH
Программист-разработчик Java (Стажер);Тула;https://hh.ru/vacancy/85589793;114000;114000;RUR;Высшее профильное (IT) образование. — Опыт разработки на <highlighttext>Java</highlighttext>. — Опыт работы с Spring Framework, JPA. — Опыт работы с реляционными СУБД (PostgreSQL...;;KTE Labs;HH
